plot_no,MgC_per_ha,MgC_SE,longitude,latitude,maxlst,minlst,medlst,maxevapo,minevapo,medevapo,mam_ndvi,jja_ndvi,ond_ndvi,jf_ndvi,elevation,slope
F1,4.835706969,7.483900892,37.35996521,0.213566995,44.7598877,19.65173912,31.63847923,29.68326187,4.683069229,12.64638042,0.531376004,0.571544528,0.59312284,0.501954675,1765.380249,1.580507994
F2,2.553128219,12.14000234,37.35775408,0.214813678,46.31259537,19.54369545,31.56289291,28.99571991,5.439974308,13.00109196,0.557701528,0.568663776,0.619490981,0.489300191,1773.810913,1.799310923
F3,1.600438219,9.857590207,37.35781173,0.2120639,46.31259537,19.54369545,31.56289291,28.99571991,5.439974308,13.00109196,0.557701528,0.568663776,0.619490981,0.489300191,1773.810913,1.799310923
OW1,22.11464697,8.541336299,37.39858996,0.207428006,47.0913887,19.44181061,32.93809509,25.92947006,3.839957476,10.57187462,0.477716744,0.435498238,0.489096731,0.376610458,1738.509277,1.544150114
OW2,0.240529469,8.767745089,37.42956897,0.21505231,48.51967239,20.43587112,33.84931183,29.70864105,3.846833944,9.751635551,0.508457661,0.503360093,0.519464135,0.32009849,1690.740112,0.523667097
OW3,2.064884469,7.565106263,37.43506702,0.176201487,45.39910507,18.87841988,32.42818451,30.4505825,4.763970852,12.7452774,0.514900208,0.516688347,0.537813008,0.465450883,1777.919312,2.347815275
OWC1,-5.638550531,8.812790361,37.28306101,0.26526913,45.26860809,17.30424118,31.0308094,24.61841202,3.400657892,8.469702721,0.522081852,0.528316617,0.584372282,0.454769194,1921.930786,0.808327436
OWC2,1.173835719,10.13552276,37.34755854,0.223139108,47.04356384,19.23688316,32.34996033,27.69493866,3.862635851,11.37517166,0.499657124,0.545602262,0.56372261,0.401186079,1758.959839,2.052533388
OWC3,-1.175365531,12.44549127,37.28223144,0.245181239,46.08449173,17.74319839,31.28388405,28.78208542,3.523667574,8.195048332,0.510029674,0.521824539,0.559640825,0.456694245,1944.707153,0.751702785
OWCS1,4.859623219,5.798965131,37.12535513,0.242550202,43.23077774,17.59788704,30.93530273,22.88602448,3.842959881,7.240638256,0.361944914,0.447390556,0.54188174,0.32482338,1903.230347,3.864170551
OWCS2,-18.81850678,7.6436732,37.12648792,0.267695,43.578228,19.96798515,30.55854416,23.27092934,3.605120897,7.847846985,0.374622941,0.492073536,0.577542007,0.327006936,1857.025146,1.407845497
OWCS3,-6.203941781,7.221527108,37.12606449,0.303402201,44.31048965,19.56411171,31.46078682,22.97891426,3.011369228,6.52630043,0.326663256,0.461760134,0.560664475,0.286896378,1836.619629,1.551490784
PO1,26.99989822,7.379039848,37.42106833,0.19937625,47.48738861,19.28176689,32.96020126,31.74590874,4.648572445,11.87909412,0.529446065,0.468468517,0.521468163,0.431535244,1730.798218,1.712486506
PO2,6.469838219,5.67643379,37.38562546,0.184891142,44.59706116,18.22230339,29.94740868,29.85643959,4.889955521,12.02032089,0.481569171,0.52693069,0.568251669,0.403836519,1835.859253,2.377619028
PO3,18.82540572,7.186205578,37.42871073,0.175253295,44.8669281,18.26972771,32.0417099,33.34260941,6.25343895,15.17604256,0.55006212,0.56494987,0.586892486,0.453843921,1779.85144,2.352204561
PY1,2.383859469,9.418666114,37.37222269,0.229375076,46.39815521,18.20225716,32.17089462,25.75208473,3.944511175,10.68005276,0.524846315,0.527120531,0.552055895,0.437240303,1713.738281,0.882771611
PY2,24.05168322,11.71479819,37.36713649,0.226933742,46.53796005,18.62999916,32.45023727,29.11251259,4.194022655,11.36754608,0.573281229,0.538205206,0.591145456,0.491724342,1716.399536,1.678425312
PY3,9.842418219,11.11898822,37.37049313,0.215403177,46.97451401,18.83130264,31.54504204,26.95315933,3.826998711,11.28420162,0.540280998,0.522964478,0.565433145,0.458908707,1730.509399,1.256762266
